F S   UID    PID   PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0    183      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_9
1 S     0    184      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_9
1 S     0    185      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_10
1 S     0    186      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_10
1 S     0    187      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_11
1 S     0    188      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_11
1 S     0    189      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_12
1 S     0    190      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_12
1 S     0    191      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_13
1 S     0    192      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_13
1 S     0    193      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_14
1 S     0    194      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_14
1 S     0    195      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_15
1 S     0    196      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_15
1 S     0    197      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_16
1 S     0    198      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_16
1 S     0    199      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_17
1 S     0    200      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_17
1 S     0    201      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_18
1 S     0    202      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_18
1 S     0    203      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_19
1 S     0    204      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_19
1 S     0    205      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_20
1 S     0    206      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_20
1 S     0    207      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_21
1 S     0    208      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_21
1 S     0    209      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_22
1 S     0    210      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_22
1 S     0    211      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_23
1 S     0    212      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_23
1 S     0    213      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_24
1 S     0    214      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_24
1 S     0    215      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_25
1 S     0    216      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_25
1 S     0    217      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_26
1 S     0    218      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_26
1 S     0    219      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_27
1 S     0    220      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_27
1 S     0    221      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_28
1 S     0    222      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_28
1 S     0    223      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_29
1 S     0    224      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_29
1 S     0    225      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_30
1 S     0    226      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_30
1 S     0    227      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_31
1 S     0    228      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_31
1 S     0    229      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_32
1 S     0    230      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_32
1 S     0    259      2  0  60 -20 -     0 -      ?        00:00:00 bioset
1 S     0    284      2  1  80   0 -     0 -      ?        00:00:35 jbd2/sda1-8
1 S     0    285      2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
1 S     0    313      2  0  80   0 -     0 -      ?        00:00:00 kauditd
4 S     0    327      1  0  80   0 -  8074 -      ?        00:00:00 systemd-journal
1 S     0    336      2  1  60 -20 -     0 -      ?        00:00:30 kworker/1:1H
1 S     0    355      1  0  80   0 - 39657 -      ?        00:00:00 vmware-vmblock-
4 S     0    362      1  0  80   0 - 11444 -      ?        00:00:00 systemd-udevd
4 S   100    497      1  0  80   0 - 25597 -      ?        00:00:00 systemd-timesyn
1 S     0    665      2  0  60 -20 -     0 -      ?        00:00:00 kworker/u257:0
1 S     0    666      2  0  60 -20 -     0 -      ?        00:00:00 hci0
1 S     0    667      2  0  60 -20 -     0 -      ?        00:00:00 hci0
1 S     0    669      2  0  60 -20 -     0 -      ?        00:00:00 kworker/u257:2
4 S     0    722      1  0  80   0 -  7171 -      ?        00:00:00 systemd-logind
0 S     0    726      1  0  80   0 -  1101 -      ?        00:00:00 acpid
4 S     0    729      1  0  80   0 - 84335 -      ?        00:00:00 ModemManager
4 S   106    733      1  0  80   0 - 11126 -      ?        00:00:01 dbus-daemon
4 S     0    766      1  0  80   0 - 95524 -      ?        00:00:00 NetworkManager
4 S   104    767      1  0  80   0 - 64100 -      ?        00:00:00 rsyslogd
4 S     0    781      1  0  80   0 - 72825 -      ?        00:00:00 accounts-daemon
4 S     0    783      1  0  80   0 -  7253 -      ?        00:00:00 cron
4 S   111    792      1  0  80   0 - 11230 -      ?        00:00:00 avahi-daemon
4 S     0    802      1  0  80   0 - 46435 -      ?        00:00:24 vmtoolsd
4 S   109    804      1  0  80   0 - 113038 -     ?        00:00:00 whoopsie
1 S   111    818    792  0  80   0 - 11198 -      ?        00:00:00 avahi-daemon
4 S     0    819      1  0  80   0 - 34151 -      ?        00:00:00 snapd
5 S     0    889      1  0  80   0 -  4905 -      ?        00:00:00 irqbalance
4 S     0    891      1  0  80   0 - 68706 -      ?        00:00:00 cups-browsed
4 S     0    893      1  0  80   0 - 74459 -      ?        00:00:00 polkitd
4 S     0    896      1  0  80   0 -  7990 -      ?        00:00:00 bluetoothd
4 S     0    901      1  0  80   0 -  3986 -      tty1     00:00:00 agetty
1 S     0    928      2  0  60 -20 -     0 -      ?        00:00:02 kworker/0:1H
