UID         PID   PPID    LWP  C NLWP STIME TTY          TIME CMD
root        194      2    194  0    1 20:54 ?        00:00:00 [scsi_tmf_14]
root        195      2    195  0    1 20:54 ?        00:00:00 [scsi_eh_15]
root        196      2    196  0    1 20:54 ?        00:00:00 [scsi_tmf_15]
root        197      2    197  0    1 20:54 ?        00:00:00 [scsi_eh_16]
root        198      2    198  0    1 20:54 ?        00:00:00 [scsi_tmf_16]
root        199      2    199  0    1 20:54 ?        00:00:00 [scsi_eh_17]
root        200      2    200  0    1 20:54 ?        00:00:00 [scsi_tmf_17]
root        201      2    201  0    1 20:54 ?        00:00:00 [scsi_eh_18]
root        202      2    202  0    1 20:54 ?        00:00:00 [scsi_tmf_18]
root        203      2    203  0    1 20:54 ?        00:00:00 [scsi_eh_19]
root        204      2    204  0    1 20:54 ?        00:00:00 [scsi_tmf_19]
root        205      2    205  0    1 20:54 ?        00:00:00 [scsi_eh_20]
root        206      2    206  0    1 20:54 ?        00:00:00 [scsi_tmf_20]
root        207      2    207  0    1 20:54 ?        00:00:00 [scsi_eh_21]
root        208      2    208  0    1 20:54 ?        00:00:00 [scsi_tmf_21]
root        209      2    209  0    1 20:54 ?        00:00:00 [scsi_eh_22]
root        210      2    210  0    1 20:54 ?        00:00:00 [scsi_tmf_22]
root        211      2    211  0    1 20:54 ?        00:00:00 [scsi_eh_23]
root        212      2    212  0    1 20:54 ?        00:00:00 [scsi_tmf_23]
root        213      2    213  0    1 20:54 ?        00:00:00 [scsi_eh_24]
root        214      2    214  0    1 20:54 ?        00:00:00 [scsi_tmf_24]
root        215      2    215  0    1 20:54 ?        00:00:00 [scsi_eh_25]
root        216      2    216  0    1 20:54 ?        00:00:00 [scsi_tmf_25]
root        217      2    217  0    1 20:54 ?        00:00:00 [scsi_eh_26]
root        218      2    218  0    1 20:54 ?        00:00:00 [scsi_tmf_26]
root        219      2    219  0    1 20:54 ?        00:00:00 [scsi_eh_27]
root        220      2    220  0    1 20:54 ?        00:00:00 [scsi_tmf_27]
root        221      2    221  0    1 20:54 ?        00:00:00 [scsi_eh_28]
root        222      2    222  0    1 20:54 ?        00:00:00 [scsi_tmf_28]
root        223      2    223  0    1 20:54 ?        00:00:00 [scsi_eh_29]
root        224      2    224  0    1 20:54 ?        00:00:00 [scsi_tmf_29]
root        225      2    225  0    1 20:54 ?        00:00:00 [scsi_eh_30]
root        226      2    226  0    1 20:54 ?        00:00:00 [scsi_tmf_30]
root        227      2    227  0    1 20:54 ?        00:00:00 [scsi_eh_31]
root        228      2    228  0    1 20:54 ?        00:00:00 [scsi_tmf_31]
root        229      2    229  0    1 20:54 ?        00:00:00 [scsi_eh_32]
root        230      2    230  0    1 20:54 ?        00:00:00 [scsi_tmf_32]
root        259      2    259  0    1 20:54 ?        00:00:00 [bioset]
root        284      2    284  1    1 20:54 ?        00:00:35 [jbd2/sda1-8]
root        285      2    285  0    1 20:54 ?        00:00:00 [ext4-rsv-conver]
root        313      2    313  0    1 20:54 ?        00:00:00 [kauditd]
root        327      1    327  0    1 20:54 ?        00:00:00 /lib/systemd/systemd-journald
root        336      2    336  0    1 20:54 ?        00:00:32 [kworker/1:1H]
root        355      1    355  0    3 20:54 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root        355      1    356  0    3 20:54 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root        355      1    357  0    3 20:54 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root        362      1    362  0    1 20:54 ?        00:00:00 /lib/systemd/systemd-udevd
systemd+    497      1    497  0    2 20:54 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+    497      1    508  0    2 20:54 ?        00:00:00 /lib/systemd/systemd-timesyncd
root        665      2    665  0    1 20:54 ?        00:00:00 [kworker/u257:0]
root        666      2    666  0    1 20:54 ?        00:00:00 [hci0]
root        667      2    667  0    1 20:54 ?        00:00:00 [hci0]
root        669      2    669  0    1 20:54 ?        00:00:00 [kworker/u257:2]
root        722      1    722  0    1 20:54 ?        00:00:00 /lib/systemd/systemd-logind
root        726      1    726  0    1 20:54 ?        00:00:00 /usr/sbin/acpid
root        729      1    729  0    3 20:54 ?        00:00:00 /usr/sbin/ModemManager
root        729      1    763  0    3 20:54 ?        00:00:00 /usr/sbin/ModemManager
root        729      1    765  0    3 20:54 ?        00:00:00 /usr/sbin/ModemManager
message+    733      1    733  0    1 20:54 ?        00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root        766      1    766  0    3 20:54 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        766      1    952  0    3 20:54 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        766      1    954  0    3 20:54 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
syslog      767      1    767  0    4 20:54 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog      767      1    831  0    4 20:54 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog      767      1    832  0    4 20:54 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog      767      1    833  0    4 20:54 ?        00:00:00 /usr/sbin/rsyslogd -n
root        781      1    781  0    3 20:54 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root        781      1    828  0    3 20:54 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root        781      1    830  0    3 20:54 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root        783      1    783  0    1 20:54 ?        00:00:00 /usr/sbin/cron -f
avahi       792      1    792  0    1 20:54 ?        00:00:00 avahi-daemon: running [ubuntu.local]
root        802      1    802  0    2 20:54 ?        00:00:25 /usr/bin/vmtoolsd
root        802      1   1021  0    2 20:54 ?        00:00:00 /usr/bin/vmtoolsd
whoopsie    804      1    804  0    3 20:54 ?        00:00:00 /usr/bin/whoopsie -f
whoopsie    804      1    988  0    3 20:54 ?        00:00:00 /usr/bin/whoopsie -f
whoopsie    804      1    989  0    3 20:54 ?        00:00:00 /usr/bin/whoopsie -f
avahi       818    792    818  0    1 20:54 ?        00:00:00 avahi-daemon: chroot helper
root        819      1    819  0    7 20:54 ?        00:00:00 /usr/lib/snapd/snapd
